ipr	description
IPR037113	Histone acetyl transferase 1, N-terminal domain superfamily
IPR037192	ERO1-like superfamily
IPR037200	Pre-mRNA-splicing factor Isy1 superfamily
IPR037201	Calcyclin-binding protein, N-terminal
IPR037214	TROVE domain superfamily
IPR037217	Tryptophan/Indoleamine 2,3-dioxygenase-like
IPR037232	NADH:ubiquinone oxidoreductase, 30kDa subunit superfamily
IPR037255	NRDP1, C-terminal
IPR037319	Rrp40, S1 domain
IPR037353	Histone methyltransferase complex subunit ASH2
IPR037437	Sorting nexin-13, PX domain
IPR037439	1,4-alpha-glucan-branching enzyme
IPR037503	rRNA-processing protein Fcf1, PIN domain
IPR037587	Ragulator complex protein LAMTOR2-like
IPR037593	MIOS/Sea4
IPR037645	Keratinocyte-associated transmembrane protein 2
IPR037675	GPI ethanolamine phosphate transferase 3, N-terminal
IPR037689	BAG family molecular chaperone regulator 2
IPR037746	Protein Dok-7
IPR037789	Rab11-family interacting protein class I
IPR037827	SNX27, atypical FERM-like domain
IPR037841	Histone-lysine N-methyltransferase SETD1A
IPR037869	Spp1/CFP1
IPR037919	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110kDa subunit
IPR038003	Alpha-2-macroglobulin receptor-associated protein
IPR038060	KICSTOR complex protein C12orf66-like, central domain superfamily
IPR038095	Costars domain superfamily
IPR038098	PHD finger protein 12, MRG binding domain superfamily
IPR038102	EYA domain superfamily
IPR038274	Atg6/Beclin C-terminal domain superfamily
IPR038336	NET domain superfamily
IPR038340	MRP-L47 superfamily, mitochondrial
IPR038355	Tumor necrosis factor alpha-induced protein 8-like superfamily
IPR038386	Beta-thymosin superfamily
IPR038397	TBCC, N-terminal domain superfamily
IPR038495	V-type ATPase subunit E, C-terminal domain superfamily
IPR038513	FAIM1 domain superfamily
IPR038566	Mediator complex, subunit Med6 superfamily
IPR038635	CCR4-NOT complex subunit 2/3/5, C-terminal domain superfamily
IPR038645	TTC5, OB fold domain superfamily
IPR038662	F1F0 ATP synthase subunit C superfamily
IPR038680	PAW domain superfamily
IPR038746	Alpha-tubulin N-acetyltransferase
IPR038749	GINS complex protein Sld5, alpha-helical domain
IPR038851	Ras-related protein Rap1
IPR038870	Ubiquitin-associated protein 1
IPR038876	Ecto-NOX disulfide-thiol exchanger
IPR038983	C2 domain-containing protein 5
IPR039043	Zinc finger protein-like 1
IPR039046	PDPK1 family
IPR039055	MCU family
IPR039116	Coiled-coil domain-containing protein 93
IPR039151	Protein inturned
IPR039155	Malectin
IPR039161	Uncharacterized protein C19orf47-like
IPR039189	CTD phosphatase Fcp1
IPR039258	Zinc finger protein 511
IPR039262	DTW domain-containing protein DTWD2/TAPT
IPR039320	RING finger protein 207
IPR039356	5'-deoxynucleotidase YfbR/HDDC2
IPR039357	3-oxo-5-alpha-steroid 4-dehydrogenase/very-long-chain enoyl-CoA reductase
IPR039397	RagA/B
IPR039411	Ribosomal biogenesis NSA2 family
IPR039414	SMG1, PIKK catalytic domain
IPR039517	C6orf106, UBA-like domain
IPR039524	GPI ethanolamine phosphate transferase 3
IPR039539	Ras GTPase-activating protein-binding protein
IPR039652	Coatomer subunit zeta
IPR039656	Synergin gamma
IPR039661	ELP3/YhcC
IPR039729	DNA fragmentation factor 40
IPR039731	CAAX prenyl protease 2, eukaryotes
IPR039756	Type II phosphatidylinositol 4-kinase Lsb6/PI4K2
IPR039758	N-acetyl-D-glucosamine kinase NAGK-like
IPR039762	Nonsense-mediated mRNA decay protein Nmd2/UPF2
IPR039780	CCR4-NOT transcription complex subunit 4
IPR039841	Integrator complex subunit 14
IPR039848	Ribosomal protein S24/S35, mitochondrial
IPR039868	Armadillo-like helical domain-containing protein 3-like
IPR039871	Protein FAM8A1
IPR039881	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase PCIF1-like
IPR039884	Coiled-coil domain-containing protein R3HC1/R3HCL
IPR039893	Centrosomal protein of 120kDa-like
IPR039921	Inscuteable
IPR039927	39S ribosomal protein L43/54S ribosomal protein L51
IPR039949	N-alpha-acetyltransferase 40
IPR039958	RING1 and YY1-binding protein/YY1-associated factor 2
IPR039982	Ribosomal protein S30, mitochondrial
IPR039997	Transcription factor E
IPR040000	Nucleolar protein 9
IPR040002	U6 snRNA-associated Sm-like protein Lsm3
IPR040024	Protein phosphatase 1 regulatory subunit 21
IPR040050	Zinc finger protein 830-like
IPR040078	CTD small RNA polymerase II polypeptide A phosphatase-like
IPR040132	TREX component Tex1/THOC3
IPR040168	Not2/Not3/Not5
IPR040176	RING finger protein RNF121/RNF175
IPR040182	Autophagy-related protein 13
IPR040246	UPF0547 protein C16orf87-like
IPR040258	FACT complex subunit Spt16
IPR040308	Telomere attrition and p53 response 1 protein
IPR040322	RNA-binding protein RO60
IPR040323	EARP and GARP complex-interacting protein 1
IPR040324	WD repeat-containing protein WDR44/Dgr2
IPR040365	EF-hand domain-containing protein D1/2
IPR040372	YaeB-like
IPR040373	Transcription factor castor
IPR040380	HAKAI-like, RING finger, HC subclass
IPR040383	E3 ubiquitin-protein ligase HAKAI/CBLL2
IPR040385	Rab-like protein 6
IPR040386	Transcriptional repressor p66
IPR040453	Mnd1, HTH domain
IPR040455	Atg6, BARA domain
IPR040557	VIP1, N-terminal
IPR040724	PheRS, DNA binding domain 1
IPR040725	PheRS, DNA binding domain 3
IPR040749	BRCC36, C-terminal helical domain
IPR040773	26S proteasome regulatory subunit Rpn6, N-terminal
IPR040780	6S proteasome subunit Rpn6, C-terminal helix domain
IPR041024	Mcm6, C-terminal winged-helix domain
IPR041042	Hakai, C2H2 zinc finger domain
IPR041076	Domain of unknown function DUF5614
IPR041209	Vesicle tethering protein p115, armadillo tether-repeat
IPR041389	Importin repeat 6
IPR041431	Mvd1, C-terminal
IPR041653	Importin repeat 4
IPR041691	Atg6/beclin, coiled-coil domain
IPR041782	PTPN14/21, FERM domain C-lobe
IPR041875	Syntaxin-8, SNARE domain
IPR041906	Ribosomal S6 kinase, N-terminal catalytic domain
IPR041960	Geranylgeranyl transferase type-1 subunit beta
IPR042050	Endoplasmic reticulum chaperone BIP, nucleotide-binding domain
IPR042164	Solute carrier family 25 member 44
IPR042214	Pseudouridine synthase, TruD, catalytic domain
IPR042246	Zinc finger CCHC domain-containing protein 9
IPR042360	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2
IPR042376	Mediator of RNA polymerase II transcription subunit 26
IPR042467	Peptidase C65, otubain, subdomain 2
IPR042468	Peptidase C65, otubain, subdomain 1
IPR042489	F-actin capping protein, alpha subunit, domain 1
IPR042522	Ubiquitin-like modifier-activating enzyme Atg7, N-terminal, subdomain 1
IPR042528	Translation initiation factor eIF-2B subunit alpha, N-terminal
IPR042534	Sin3 associated polypeptide p18 superfamily
IPR042560	Exocyst component Exo84, C-terminal, subdomain 2
IPR042561	Exocyst component Exo84, C-terminal, subdomain 1
IPR042569	Ribosome-associated complex head domain superfamily
IPR042575	Ubiquitin-associated protein 1, C-terminal
IPR042858	DnaJ homolog subfamily C member 8
IPR042981	RING finger protein 11, RING-H2 finger
IPR043035	Growth arrest and DNA damage-inducible proteins-interacting protein 1 domain superfamily
IPR043134	GTP cyclohydrolase I, N-terminal domain
IPR043193	Glyoxalase domain-containing protein 4
IPR043194	Glyoxalase domain-containing protein 4, C-terminal
IPR043269	Lateral signaling target protein 2, FYVE domain
IPR043508	Brdt, bromodomain, repeat I
IPR043538	Xylosyltransferase
IPR043969	MAP3K, PH domain
IPR044100	Homer, EVH1 domain
IPR044102	SHEP1/BCAR3/NSP1, SH2 domain
IPR044230	General transcription factor 3C polypeptide 4
IPR044442	RNase III, double-stranded RNA binding domain, animal
IPR044570	Histone-lysine N-methyltransferase Set1-like
IPR044608	Ethanolamine-phosphate cytidylyltransferase
IPR044633	Cleavage stimulation factor subunit 1-like
IPR044642	U6 snRNA-associated Sm-like protein Lsm1/8
IPR044732	SMAP1-like, ArfGAP domain
IPR044756	DHX15, DEXH-box helicase domain
IPR044840	Nucleoporin Nup188
IPR044888	Mediator complex, subunit Med7 superfmaily
IPR044943	Nitric oxide synthase, domain 1 superfamily
IPR045002	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase Ech1-like
IPR045072	MKRN-like
IPR045114	Csn12 family
IPR045123	N6-adenosine-methyltransferase non-catalytic subunit METTL14-like
IPR045137	RNA-binding protein 26/27
IPR045142	BCAS3-like
IPR045292	NDUFB9, LYR domain
IPR045311	Long-chain fatty acid CoA synthetase, eukaryotic
IPR045315	Mitochondrial carrier protein Mtm1-like
IPR045573	Alpha-(1,6)-fucosyltransferase, N- and catalytic domain
IPR045578	Ubiquitin carboxyl-terminal hydrolase 47, C-terminal
IPR045579	Acylglycerol kinase, C-terminal
IPR045786	Rho GTPase-activating protein, pG1 and pG2 domain
IPR045789	Protein inscuteable homologue, C-terminal domain
IPR045814	Integrator complex subunit 14, beta-barrel domain
IPR045820	CLEC16A/TT9, C-terminal
IPR046327	Homeobox protein Hox-A1/B1/D1
IPR046332	Small ubiquitin-related modifier 1, Ubl domain
IPR046364	Exocyst complex subunit Exo70, C-terminal
IPR046457	Phosphomannose isomerase type I, catalytic domain
IPR046458	Phosphomannose isomerase type I, helical insertion domain
IPR046465	BLOC-1-related complex subunit 6, C-terminal helix
IPR046471	Integrator complex subunit 14, C-terminal
IPR046873	MAP3K, HisK-N-like globin domain
IPR046937	Voltage-dependent L-type calcium channel subunit beta-1-4, N-terminal A domain
IPR046994	STAT5a/5b, coiled-coil domain
IPR047141	Stealth family
IPR047165	Rho GTPase-activating protein 17/44/SH3BP1-like
IPR047178	JNK-interacting protein 1
IPR047198	Diphosphoinositol polyphosphate phosphohydrolase-like, NUDIX domain
IPR047243	BRCA1-associated protein, RING finger, H2 subclass
IPR047260	ERCC1-like, central domain
IPR047386	Tudor domain-containing protein 11, Tudor domain
IPR047506	E3 ubiquitin-protein ligase UBR7-like, UBR-box
IPR047512	Forkhead box protein J1, forkhead domain
IPR047820	P5A-type ATPase
IPR000243	Peptidase T1A, proteasome beta-subunit
IPR006845	Pex, N-terminal
IPR016346	Guanine nucleotide-binding protein, beta subunit
IPR019525	Nuclear respiratory factor 1, NLS/DNA-binding, dimerisation domain
IPR036305	RGS domain superfamily
IPR002867	IBR domain
IPR028458	Twinfilin
IPR037992	TRAPP complex, Trs33 subunit
IPR028885	Adenylyltransferase and sulfurtransferase MOCS3/Uba4
IPR011057	Mss4-like superfamily
IPR040248	Ribosome-binding protein 1
IPR000608	Ubiquitin-conjugating enzyme E2
IPR019479	Peroxiredoxin, C-terminal
IPR031941	Domain of unknown function DUF4773
IPR013144	CRA domain
IPR024964	CTLH/CRA C-terminal to LisH motif domain
IPR017266	Cyclin-dependent kinase 2-associated protein 1/2
IPR033509	E3 ubiquitin-protein ligase RNF146
IPR008339	Dishevelled family
IPR016135	Ubiquitin-conjugating enzyme/RWD-like
IPR005788	Disulphide isomerase
IPR026508	Transmembrane protein 164
IPR005857	Cystathionine beta-synthase
IPR003096	Smooth muscle protein/calponin
IPR011012	Longin-like domain superfamily
IPR006331	Adenosine deaminase-related growth factor
IPR045237	Eukaryotic translation initiation factor 3 subunit M eIF3m/COP9 signalosome complex subunit 7 COPS7
IPR000557	Calponin repeat
IPR006906	Timeless, N-terminal
IPR003351	Dishevelled protein domain
IPR015506	Dishevelled-related protein
IPR043502	DNA/RNA polymerase superfamily
IPR001683	Phox homology
IPR007290	Arv1 protein
IPR042336	Golgi integral membrane protein 4
IPR021109	Aspartic peptidase domain superfamily
IPR000043	Adenosylhomocysteinase-like
IPR000905	Gcp-like domain
IPR015878	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
IPR017861	Kae1/TsaD family
IPR037363	Sec13/Seh1 family
IPR042172	Adenosylhomocysteinase-like superfamily
IPR047343	AP-4 complex accessory subunit RUSC1/2
IPR031642	VPS13, middle RBG modules
IPR001247	Exoribonuclease, phosphorolytic domain 1
IPR007757	MT-A70-like
IPR000011	Ubiquitin/SUMO-activating enzyme E1-like
IPR004274	FCP1 homology domain
IPR027408	PNPase/RNase PH domain superfamily
IPR003890	MIF4G-like, type 3
IPR015403	Mon2/Sec7/BIG1-like, HDS
IPR036871	PX domain superfamily
IPR036691	Endonuclease/exonuclease/phosphatase superfamily
IPR024096	NO signalling/Golgi transport ligand-binding domain superfamily
IPR014709	Glutathione synthase, C-terminal, eukaryotic
IPR024084	Isopropylmalate dehydrogenase-like domain
IPR016024	Armadillo-type fold
IPR006636	Heat shock chaperonin-binding
IPR001208	MCM domain
IPR003033	SCP2 sterol-binding domain
IPR019496	FMR1-interacting protein 1, conserved domain
IPR011323	Mss4/translationally controlled tumour-associated TCTP
IPR001130	3'-5' ssDNA/RNA exonuclease TatD-like
IPR015496	Ubiquilin
IPR031662	GTP binding protein, second domain
IPR045001	Developmentally regulated GTP-binding protein
IPR042042	Protein transport protein Tip20, domain B
IPR013748	Replication factor C, C-terminal
IPR027248	Small nuclear ribonucleoprotein Sm D2
IPR034642	Proteasome subunit alpha6
IPR038459	tRNA methyltransferase TRM10-type domain superfamily
IPR036527	SCP2 sterol-binding domain superfamily
IPR001580	Calreticulin/calnexin
IPR009033	Calreticulin/calnexin, P domain superfamily
IPR004887	Glutathione synthase, substrate-binding domain
IPR014042	Glutathione synthase, alpha-helical
IPR037013	Glutathione synthase, substrate-binding domain superfamily
IPR001158	DIX domain
IPR038207	DIX domain superfamily
IPR001791	Laminin G domain
IPR011545	DEAD/DEAH box helicase domain
IPR018491	SLC12A transporter, C-terminal
IPR001270	ClpA/B family
IPR009801	Transmembrane protein 126
IPR001278	Arginine-tRNA ligase
IPR035684	Arginyl-tRNA synthetase, catalytic core domain
IPR029044	Nucleotide-diphospho-sugar transferases
IPR039846	Zinc finger CCHC domain-containing protein 4
IPR003151	PIK-related kinase, FAT
IPR039872	Uncharacterized protein KIAA0513
IPR013598	Exportin-1/Importin-beta-like
IPR039719	F-box only protein 28
IPR002259	Equilibrative nucleoside transporter
IPR047128	Phytanoyl-CoA dioxygenase
IPR036598	GOLD domain superfamily
IPR002641	Patatin-like phospholipase domain
IPR004328	BRO1 domain
IPR013218	Kinetochore-associated protein Dsn1/Mis13
IPR023379	BART domain
IPR042541	BART domain superfamily
IPR019402	Frag1/DRAM/Sfk1
IPR001365	Adenosine deaminase domain
IPR006330	Adenosine/adenine deaminase
IPR008795	Prominin
IPR040586	PheRS DNA binding domain 2
IPR034136	Topoisomerase 6 subunit A/Spo11, TOPRIM domain
IPR007590	Saf4/Yju2 protein
IPR042044	EXOC6/PINT-1/Sec15/Tip20, C-terminal, domain 2
IPR036643	DNA-directed RNA polymerase, insert domain superfamily
IPR039697	Iron-type alcohol dehydrogenase-like
IPR000477	Reverse transcriptase domain
IPR028146	Glucosidase II beta subunit, N-terminal
IPR023696	Ureohydrolase domain superfamily
IPR010291	Ion channel regulatory protein, UNC-93
IPR040759	Regulator of G-protein signalling, DHEX domain
IPR047017	Regulator of G-protein signalling 6/7/9/11, DHEX domain superfamily
IPR011989	Armadillo-like helical
IPR019749	Band 4.1 domain
IPR006989	NAB co-repressor, domain
IPR038398	NAB co-repressor domain 2 superfamily
IPR029351	GAD domain
IPR008921	DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal
IPR035964	I/LWEQ domain superfamily
IPR007523	NDUFAF3/Mth938 domain-containing protein
IPR036748	MTH938-like superfamily
IPR002379	V-ATPase proteolipid subunit C-like domain
IPR035921	F/V-ATP synthase subunit C superfamily
IPR038499	BRO1 domain superfamily
IPR013049	Spo11/DNA topoisomerase VI, subunit A, N-terminal
IPR046938	DNA clamp superfamily
IPR013177	Mitochondrial mRNA-processing protein COX24, C-terminal
IPR045098	Fyv10 family
IPR015883	Glycoside hydrolase family 20, catalytic domain
IPR034483	Regulator of G-protein signalling Egl-10, RGS domain
IPR013883	Transcription factor Iwr1 domain
IPR003732	D-aminoacyl-tRNA deacylase DTD
IPR023509	D-aminoacyl-tRNA deacylase-like superfamily
IPR029045	ClpP/crotonase-like domain superfamily
IPR006876	LMBR1-like membrane protein
IPR044852	WW domain-binding protein 2-like
IPR045111	Vacuolar protein sorting-associated protein Vps41/Vps8
IPR000904	Sec7 domain
IPR035999	Sec7 domain superfamily
IPR029006	ADF-H/Gelsolin-like domain superfamily
IPR023394	Sec7, C-terminal domain superfamily
IPR006840	Glutathione-specific gamma-glutamylcyclotransferase
IPR008532	NFACT, RNA-binding domain
IPR004888	Glycoside hydrolase family 63
IPR008210	Phosphoenolpyruvate carboxykinase, N-terminal
IPR010674	Nucleolar GTP-binding protein 1, Rossman-fold domain
IPR024926	Nucleolar GTP-binding protein 1
IPR029175	Exocyst complex component EXOC2/Sec5
IPR031335	Glycosyl hydrolase family 63, C-terminal
IPR031631	Glycosyl hydrolase family 63, N-terminal
IPR031966	PHD finger protein 12, MRG binding domain
IPR035078	Phosphoenolpyruvate carboxykinase, GTP-utilising, N-terminal
IPR038518	Glycosyl hydrolase family 63, N-terminal domain superfamily
IPR041623	NOG1, N-terminal helical domain
IPR001584	Integrase, catalytic core
IPR001937	Galactose-1-phosphate uridyl transferase, class I
IPR005849	Galactose-1-phosphate uridyl transferase, N-terminal
IPR019748	FERM central domain
IPR028375	KA1 domain/Ssp2, C-terminal
IPR001681	Neurokinin receptor
IPR007248	Mpv17/PMP22
IPR033911	Methioninyl-tRNA synthetase core domain
IPR001841	Zinc finger, RING-type
IPR001661	Glycoside hydrolase, family 37
IPR035927	DUSP-like superfamily
IPR010796	B9-type C2 domain
IPR014309	Xanthine dehydrogenase, molybdopterin binding subunit
IPR000800	Notch domain
IPR012978	Ribosomal RNA-processing protein 12-like, conserved domain
IPR004345	TB2/DP1/HVA22-related protein
IPR002498	Phosphatidylinositol-4-phosphate 5-kinase, core
IPR019130	Macoilin
IPR001849	Pleckstrin homology domain
IPR013258	Striatin, N-terminal
IPR032423	AAA C-terminal domain
IPR004139	Glycosyl transferase, family 13
IPR005491	ENT domain
IPR007666	ADP-specific phosphofructokinase/glucokinase
IPR008297	Notch
IPR019399	Parkin co-regulated protein
IPR029444	Integrator complex subunit 5, C-terminal
IPR033482	BRCA2-interacting transcriptional repressor EMSY
IPR036142	ENT domain-like superfamily
IPR040316	Integrator complex subunit 5
